puzzle,old_name,old_key,current_name,proposed_name,effect_name,moved_count,orientation_count,move_count,collision_size,moves
rubiks-7,BigQA,BigQA#00,CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UL<>UR],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UL<>UR],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UL<>UR],102,0,29,1,z' L2 F B' U' B D B D' F B' L B' L' F' R F R' F2 R2 F B U F' U' B' R2 F U'
rubiks-7,BigQB,BigQB#00,CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[UL>RU],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[UL>RU],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[UL>RU],102,2,15,1,R' F' D' B' D B' F L' B L B R B' F z'
rubiks-7,BigQC00,BigQC00#00,CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UF<>UR],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UF<>UR],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UF<>UR],102,0,19,1,F' L' R' F' D' B' D B' F L' B L B R B' F z' L F
rubiks-7,BigQC01,BigQC01#00,CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UF<>UR],CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UF<>UR],CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[UF<>UR],102,0,19,1,F' L' z F' B R' B' L' B' L F' B D' B D F R L F
rubiks-7,BigQD00,BigQD00#00,CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[RF<>UR],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[RF<>UR],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[RF<>UR],102,0,19,1,F2 L' R' F' D' B' D B' F L' B L B R B' F z' L F2
rubiks-7,BigQD01,BigQD01#00,CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[RF<>UR],CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[RF<>UR],CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[RF<>UR],102,0,19,1,F2 L' z F' B R' B' L' B' L F' B D' B D F R L F2
rubiks-7,BigQE00,BigQE00#00,CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[DF<>UR],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[DF<>UR],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[DF<>UR],102,0,19,1,F L' R' F' D' B' D B' F L' B L B R B' F z' L F'
rubiks-7,BigQE01,BigQE01#00,CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[DF<>UR],CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[DF<>UR],CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2s[DF<>UR],102,0,19,1,F L' z F' B R' B' L' B' L F' B D' B D F R L F'
rubiks-7,BigQF00,BigQF00#00,CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[FL>RU],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[FL>RU],CtrCore4[D>R>U>L]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[FL>RU],102,2,17,1,L' R' F' D' B' D B' F L' B L B R B' F z' L
rubiks-7,BigQF01,BigQF01#00,CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[FL>RU],CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[FL>RU],CtrCore4[D>L>U>R]+CtrObl32p[4x8]+CtrPlus32p[4x8]+CtrX32p[4x8]+EAll2[FL>RU],102,2,17,1,L' z F' B R' B' L' B' L F' B D' B D F R L
