puzzle,current_name,legacy_names,current_key,current_point,best_transform_index,best_point,point_delta,best_existing_key,best_effect_name,proposed_source_name,moved_count,orientation_count,move_count,moves
rubiks-7,C2[DBL>FDL]+EAll2[RF>BU],,C2[DBL>FDL]+EAll2[RF>BU]#00,2711.5,0,2711.5,0.0,C2[DBL>FDL]+EAll2[RF>BU]#00,C2[DBL>FDL]+EAll2[RF>BU],C2[DBL>FDL]+EAll2[RF>BU],28,4,24,U' L U' D F2 U D' L' U2 F2 U2 F U2 F' U2 F U2 L2 F L2 F U2 F2 U
rubiks-7,C2[DBL>FDL]+EAll2[RF>FU],,C2[DBL>FDL]+EAll2[RF>FU]#00,2711.5,0,2711.5,0.0,C2[DBL>FDL]+EAll2[RF>FU]#00,C2[DBL>FDL]+EAll2[RF>FU],C2[DBL>FDL]+EAll2[RF>FU],52,4,24,U L U' D F2 D' U L' U2 B2 U2 B' U2 B U2 B' U2 L2 B' L2 B' U2 B2 U'
rubiks-7,C2[DBL>FDL]+EAll2s[RF<>UB],,C2[DBL>FDL]+EAll2s[RF<>UB]#00,2711.5,0,2711.5,0.0,C2[DBL>FDL]+EAll2s[RF<>UB]#00,C2[DBL>FDL]+EAll2s[RF<>UB],C2[DBL>FDL]+EAll2s[RF<>UB],52,2,23,D2 F R2 B' D2 B D2 F2 R2 F' R2 F R2 D2 F2 U2 F U2 L2 D2 B D2 L2
rubiks-7,C2[DBL>FDL]+EAll2s[RF<>UF],,C2[DBL>FDL]+EAll2s[RF<>UF]#00,2711.5,0,2711.5,0.0,C2[DBL>FDL]+EAll2s[RF<>UF]#00,C2[DBL>FDL]+EAll2s[RF<>UF],C2[DBL>FDL]+EAll2s[RF<>UF],100,2,23,D2 F R2 B' D2 B D2 F2 R2 F' R2 F R2 D2 F2 D2 B R2 D2 L2 F U2 L2
rubiks-7,C2[DBL>FUR]+CtrCore4[B>L>F>R]~v01,,C2[DBL>FUR]+CtrCore4[B>L>F>R]~v01#00,6.5,0,6.5,0.0,C2[DBL>FUR]+CtrCore4[B>L>F>R]~v01#00,C2[DBL>FUR]+CtrCore4[B>L>F>R],C2[DBL>FUR]+CtrCore4[B>L>F>R]~v01,62,2,40,U2 B' U2 R2 D' F' D R2 U' B U 2D2 3D2 F2 L2 2D2 3D2 L2 F2 2D2 3D2 E R E R' E R' E R E2 R' E R2 B2 E' R' E' R B2 R'
rubiks-7,C2[DBL>FUR]+CtrCore4[B>L>F>R]~v02,,C2[DBL>FUR]+CtrCore4[B>L>F>R]~v02#00,6.5,0,6.5,0.0,C2[DBL>FUR]+CtrCore4[B>L>F>R]~v02#00,C2[DBL>FUR]+CtrCore4[B>L>F>R],C2[DBL>FUR]+CtrCore4[B>L>F>R]~v02,62,2,40,U' B' U R2 D' F D R2 U2 B U2 2D2 3D2 F2 L2 2D2 3D2 L2 F2 2D2 3D2 E R E R' E R' E R E2 R' E R2 B2 E' R' E' R B2 R'
rubiks-7,C2[DBL>FUR]+CtrCore4[B>R>F>L]+CtrObl32p[16x2]+CtrPlus32p[16x2]+CtrX32p[16x2],,C2[DBL>FUR]+CtrCore4[B>R>F>L]+CtrObl32p[16x2]+CtrPlus32p[16x2]+CtrX32p[16x2]#00,82806.5,0,82806.5,0.0,C2[DBL>FUR]+CtrCore4[B>R>F>L]+CtrObl32p[16x2]+CtrPlus32p[16x2]+CtrX32p[16x2]#00,C2[DBL>FUR]+CtrCore4[B>R>F>L]+CtrObl32p[16x2]+CtrPlus32p[16x2]+CtrX32p[16x2],C2[DBL>FUR]+CtrCore4[B>R>F>L]+CtrObl32p[16x2]+CtrPlus32p[16x2]+CtrX32p[16x2],102,2,35,B' D' L' U' L D U' F' U F U B U' D y R B R' B' D' R' D' R2 F' R2 F D2 F2 L B' L' F2 L B L'
rubiks-7,C2[DBL>FUR]+EAll2[FL>BU],,C2[DBL>FUR]+EAll2[FL>BU]#00,2712.5,0,2712.5,0.0,C2[DBL>FUR]+EAll2[FL>BU]#00,C2[DBL>FUR]+EAll2[FL>BU],C2[DBL>FUR]+EAll2[FL>BU],100,4,19,D F D' L2 U B' U' L2 D2 F' D2 U2 L2 D2 B' R2 D2 L2 F'
rubiks-7,C2[DBL>FUR]+EAll2[RF>FU],,C2[DBL>FUR]+EAll2[RF>FU]#00,2712.5,0,2712.5,0.0,C2[DBL>FUR]+EAll2[RF>FU]#00,C2[DBL>FUR]+EAll2[RF>FU],C2[DBL>FUR]+EAll2[RF>FU],28,4,17,D2 R U R' D2 R U' B2 L U L' B2 R D' R D R
rubiks-7,C2[DBL>FUR]+EAll2s[FL<>UB],,C2[DBL>FUR]+EAll2s[FL<>UB]#00,2712.5,0,2712.5,0.0,C2[DBL>FUR]+EAll2s[FL<>UB]#00,C2[DBL>FUR]+EAll2s[FL<>UB],C2[DBL>FUR]+EAll2s[FL<>UB],28,2,28,L U2 L2 R2 D L2 D' L2 R2 U L2 U L' R' D B' D' B D B D2 R' D B D B' D' R2
